specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
704 NCA40 10.tif,-0.060325943,0.003093349,0.073657337,-0.042772624,0.064918927,-0.03022498,-0.033483162,-0.011641187,0.020778414,-0.050307009,0.022511099,-0.029796011,-0.008958358,-0.00657104,-0.02645853,0.005430733,-0.018854039,0.022352753,0.017193764,0.014217945
706 NCA40 12.TIF,0.017442165,-0.066152275,0.01661149,-0.067922841,0.032474796,-0.024329744,-0.016922164,-0.008268931,0.006998494,0.005257038,-0.004568794,-0.004706424,-0.020467563,0.004238777,-0.018046219,0.006280742,0.016745702,0.02073886,0.036815042,0.013135912
711 NCA40 17.TIF,0.072717544,-0.006954865,0.020517012,-0.014480827,0.026539415,0.010305753,0.033246795,0.012312261,0.029691647,-0.037524027,-0.015053156,0.034294425,0.011884471,0.02984463,-0.002660326,-0.010396835,0.016437352,0.034002781,0.017546464,0.035847726
714 NCA40 20.tif,-0.019483084,-0.015610666,0.046828477,0.000543337,0.029615589,-0.002239148,-0.002541236,0.011224844,0.001262848,0.026279799,0.007194674,0.000504389,0.022415284,-0.002452524,0.004178594,-0.006749096,-0.001536025,-0.013411455,-0.019591746,0.03658606
715 NCA40 21.tif,-0.004160965,0.07263218,0.01883749,0.011791995,0.036131985,0.019449041,0.011153834,0.006458228,0.015680753,0.010208343,0.020278314,-0.005629615,0.028751139,-0.033187052,-0.024529452,-0.039721862,0.021850688,0.009557347,-0.045926448,-0.041812039
718 NCA40 24.tif,-0.008504038,0.108002875,0.056346456,-0.04620336,5.73E-05,-0.020071925,-0.025681419,-0.040026803,-0.021649763,0.005539907,-0.013122712,0.023485756,-0.009724932,0.012087116,-0.003596501,0.011774444,0.025234487,-0.013638669,-0.024920422,-0.010742694
724 NCA40 30.tif,-0.018036228,0.019224594,-0.060373758,0.029986839,0.011113331,-0.034369964,-0.024429547,-0.057165274,-0.006355101,0.009321185,-0.017594402,0.00875307,0.026656862,0.001983344,-0.006353636,-0.02659434,-0.00702829,-0.002502726,-0.022378075,-0.020427619
726 NCA50 2.tif,0.050708988,0.006328936,0.066963854,-0.024608719,-0.011910883,0.003879077,0.014206487,-0.028775864,0.017812298,-0.008350226,0.023992742,-0.008249644,-0.002334647,0.009299334,-0.003568149,-0.004987963,-0.029393085,-0.013927771,-0.006524268,-0.009631253
733 NCA50 9.tif,0.068162766,0.001381498,-0.019480882,-0.027809099,0.068558872,-0.034250566,0.003989688,-0.028483121,0.02050369,-0.001397308,0.032345263,0.005473868,-0.021232912,-0.002087684,0.016918608,0.00618818,0.027479392,0.00017902,-0.005459531,0.003873738
736 NCA50 12.tif,0.036508963,-0.010171,0.019269389,-0.004361277,0.065502926,0.010824435,0.024689442,0.000345978,0.012531309,-0.013752272,0.010470246,-0.008359675,-0.004756709,0.010657282,-0.004577703,-0.00956393,0.003908115,0.002349834,-0.001988651,0.010210543
737 NCA50 13.tif,0.029199188,0.042606694,0.019956662,-0.031937048,-0.047762966,0.044659988,0.035277687,-0.023839583,-0.009354296,-0.035658269,-0.00158699,0.003432171,-0.017995095,0.003788811,0.015113523,-0.026478178,0.009401538,0.007349121,0.006902663,-0.009321223
739 NCA50 15.tif,0.009765183,0.056150943,0.056273279,-0.020195449,0.009002451,-0.002216613,0.010270612,0.001231236,0.02026826,-0.00884105,-0.021895532,0.014124337,-0.022510561,-0.000699676,-0.019156577,-0.004244788,0.018303403,0.011882844,0.001743897,0.021452381
740 NCA50 16.tif,0.031868748,0.018693216,-0.006342707,-0.042290045,0.013517016,-0.008176031,-0.000745,0.012090393,0.00070141,-0.006029104,-0.012062913,-0.002646072,-0.003382349,-0.000802243,-0.011887817,-0.004548994,0.000318337,0.001257521,-0.009176239,0.002669036
747 NCA50 23.tif,0.051023614,-0.066963647,0.09111043,0.029371042,0.024049565,-0.022236552,0.000884901,-0.006694586,0.038422359,0.008561841,-0.021656072,0.021632858,-0.025138232,0.015829869,-0.008797769,0.017514018,-0.009980169,0.011791718,-0.016148712,-0.007045212
750 NCA50 26.tif,0.036582009,0.008603084,0.091609992,-0.07115803,0.027345659,0.023824445,0.002336122,-0.007185075,-0.000511745,-0.036289022,0.011376261,-0.029772986,-0.002751923,-0.093344743,-0.000866904,-0.068129463,-0.069897801,-0.017074555,0.019582321,0.001282147
752 NCA50 28.tif,0.057724517,0.03000706,-0.014356945,-0.041349577,0.052332899,0.000654065,-0.032081307,-0.004919935,0.010933734,-0.01082419,-0.013950593,0.023525428,0.034911854,0.016129356,-0.006451264,-0.010866604,-0.016144953,0.043685552,-0.010861468,-0.000981888
753 NCA50 29.tif,0.009602623,0.000308375,0.075311899,-0.002611026,0.059324557,-0.008552865,0.042312235,-0.002707264,-0.006621843,-0.02532981,-0.030839228,-0.013339527,-0.001214571,-4.87E-08,-0.009216203,-0.010275201,-0.016260681,0.020754218,-0.00936686,-0.002785304
